Hex_Code,Hue,Saturation,Lightness,R,G,B
#F5003D,345,100,48,245,0,61
#00F020,128,100,47,0,240,32
#FFE119,52,100,55,255,225,25
#1A4BFF,227,100,55,26,75,255
#FF8229,25,100,58,255,130,41
#A000D1,286,100,41,160,0,209
#38FFFF,180,100,61,56,255,255
#FF24F4,303,100,57,255,36,244
#C1FF05,75,100,51,193,255,5
#FFB8B8,0,100,86,255,184,184
#008080,180,100,25,0,128,128
#E6BEFF,277,100,87,230,190,255
